time,sno,sbi
2021-11-20 22:02:38,312,7
2021-11-20 22:07:38,312,8
2021-11-20 22:12:37,312,9
2021-11-20 22:17:37,312,9
2021-11-20 22:22:37,312,9
2021-11-20 22:27:37,312,10
2021-11-20 22:32:37,312,10
2021-11-20 22:37:37,312,10
2021-11-20 22:42:37,312,10
2021-11-20 22:47:38,312,10
2021-11-20 22:52:37,312,9
2021-11-20 22:57:37,312,9
2021-11-20 23:02:38,312,10
2021-11-20 23:07:38,312,10
2021-11-20 23:12:38,312,10
2021-11-20 23:17:38,312,10
2021-11-20 23:22:38,312,10
2021-11-20 23:27:38,312,10
2021-11-20 23:31:38,312,10
2021-11-20 23:37:38,312,10
2021-11-20 23:42:38,312,10
2021-11-20 23:47:38,312,10
2021-11-20 23:52:38,312,10
2021-11-20 23:57:38,312,10
2021-11-21 00:02:38,312,10
2021-11-21 00:07:37,312,10
2021-11-21 00:12:37,312,10
2021-11-21 00:17:37,312,10
2021-11-21 00:22:38,312,10
2021-11-21 00:27:37,312,10
2021-11-21 00:32:38,312,10
2021-11-21 00:37:37,312,9
2021-11-21 00:42:37,312,10
2021-11-21 00:47:37,312,10
2021-11-21 00:52:37,312,9
2021-11-21 00:57:37,312,8
2021-11-21 01:02:43,312,8
2021-11-21 01:07:37,312,10
2021-11-21 01:12:37,312,10
2021-11-21 01:17:37,312,10
2021-11-21 01:22:37,312,10
2021-11-21 01:27:37,312,10
2021-11-21 01:31:37,312,10
2021-11-21 01:37:38,312,10
2021-11-21 01:42:38,312,10
2021-11-21 01:47:38,312,10
2021-11-21 01:52:38,312,9
2021-11-21 01:57:38,312,9
2021-11-21 02:01:38,312,9
2021-11-21 02:08:19,312,9
2021-11-21 02:12:19,312,9
2021-11-21 02:17:19,312,9
2021-11-21 02:22:18,312,8
2021-11-21 02:27:19,312,6
2021-11-21 02:32:19,312,6
2021-11-21 02:37:19,312,6
2021-11-21 02:42:19,312,6
2021-11-21 02:47:19,312,6
2021-11-21 02:52:19,312,6
2021-11-21 02:57:19,312,6
2021-11-21 03:02:19,312,6
2021-11-21 03:07:31,312,6
2021-11-21 03:12:23,312,6
2021-11-21 03:18:23,312,5
2021-11-21 03:22:19,312,5
2021-11-21 03:27:19,312,6
2021-11-21 03:32:19,312,6
2021-11-21 03:37:19,312,6
2021-11-21 03:42:18,312,6
2021-11-21 03:47:19,312,7
2021-11-21 03:52:19,312,7
2021-11-21 03:57:19,312,7
2021-11-21 04:02:19,312,7
2021-11-21 04:07:19,312,7
2021-11-21 04:12:19,312,7
2021-11-21 04:17:19,312,7
2021-11-21 04:22:19,312,7
2021-11-21 04:27:20,312,7
2021-11-21 04:32:20,312,7
2021-11-21 04:37:20,312,7
2021-11-21 04:42:20,312,7
2021-11-21 04:47:20,312,8
2021-11-21 04:52:20,312,8
2021-11-21 04:57:20,312,8
2021-11-21 05:02:20,312,8
2021-11-21 05:07:20,312,8
2021-11-21 05:09:20,312,8
2021-11-21 07:18:41,312,9
2021-11-21 07:22:41,312,10
2021-11-21 07:27:41,312,10
2021-11-21 07:32:41,312,9
2021-11-21 07:37:41,312,9
2021-11-21 07:42:55,312,9
2021-11-21 07:47:42,312,9
2021-11-21 07:52:41,312,10
2021-11-21 07:57:42,312,9
2021-11-21 08:02:42,312,8
2021-11-21 08:07:42,312,8
2021-11-21 08:12:42,312,8
2021-11-21 08:17:42,312,6
2021-11-21 08:22:42,312,6
2021-11-21 08:27:42,312,5
2021-11-21 08:33:42,312,5
2021-11-21 08:38:42,312,5
2021-11-21 08:43:42,312,4
2021-11-21 08:47:42,312,5
2021-11-21 08:53:42,312,7
2021-11-21 08:57:42,312,7
2021-11-21 09:03:41,312,8
2021-11-21 09:08:41,312,8
2021-11-21 09:13:42,312,6
2021-11-21 09:18:42,312,6
2021-11-21 09:23:42,312,6
2021-11-21 09:28:42,312,6
2021-11-21 09:33:42,312,5
2021-11-21 09:38:42,312,6
2021-11-21 09:43:47,312,6
2021-11-21 09:48:41,312,6
2021-11-21 09:53:41,312,7
2021-11-21 09:57:42,312,6
2021-11-21 10:03:42,312,7
2021-11-21 10:08:42,312,8
2021-11-21 10:12:42,312,8
2021-11-21 10:18:42,312,8
2021-11-21 10:23:42,312,8
2021-11-21 10:28:41,312,6
2021-11-21 10:33:42,312,4
2021-11-21 10:38:42,312,3
2021-11-21 10:43:42,312,6
2021-11-21 10:48:41,312,6
2021-11-21 10:53:41,312,5
2021-11-21 10:58:41,312,5
2021-11-21 11:03:41,312,5
2021-11-21 11:08:41,312,8
2021-11-21 11:13:42,312,9
2021-11-21 11:18:47,312,7
2021-11-21 11:23:42,312,7
2021-11-21 11:28:42,312,5
